evcode,relocated_latitude,relocated_longitude,relocated_time,max_cc,eff_nstations,Ms_BB,detected_time,detected_latitude,detected_longitude,quality_group,usgs_event,poli_event,csf_az,csf_amp
201309220539,-75.38,-107.87,2013-09-22T05:39:38.000000Z,0.78,5.53,2.42,2013-09-22T05:39:48.000000Z,-75.52,-108.43,C,False,False,,
201310260315,-75.37,-106.73,2013-10-26T03:15:31.000000Z,0.75,5.61,2.17,2013-10-26T03:15:30.000000Z,-75.22,-106.19,C,False,False,-14.00,123881838515.34
201311070732,-75.34,-106.51,2013-11-07T07:32:34.000000Z,0.85,5.26,2.07,2013-11-07T07:32:36.000000Z,-75.22,-106.19,B,False,False,4.00,154036947087.94
201311090724,-74.98,-99.73,2013-11-09T07:24:51.000000Z,0.85,4.62,2.08,2013-11-09T07:24:50.000000Z,-74.65,-100.30,C,False,False,110.00,126733336239.28
201311101916,-75.00,-99.84,2013-11-10T19:16:40.000000Z,0.88,4.45,2.17,2013-11-10T19:16:52.000000Z,-75.10,-100.62,B,False,False,-70.00,154346387808.71
201311110408,-75.37,-106.73,2013-11-11T04:07:59.000000Z,0.80,5.61,2.29,2013-11-11T04:08:00.000000Z,-75.22,-106.19,C,False,False,,
201311151324,-74.95,-99.81,2013-11-15T13:24:15.000000Z,0.82,4.61,2.27,2013-11-15T13:24:12.000000Z,-74.65,-100.30,C,False,False,-66.00,249709126297.07
201311191246,-75.12,-99.65,2013-11-19T12:46:17.000000Z,0.86,2.53,2.43,2013-11-19T12:46:08.000000Z,-74.65,-100.30,B,False,False,-66.00,278515548008.16
201311210728,-74.92,-99.43,2013-11-21T07:28:51.000000Z,0.83,4.39,2.14,2013-11-21T07:28:50.000000Z,-74.73,-98.62,B,False,False,,
201311230422,-74.97,-99.46,2013-11-23T04:22:04.000000Z,0.85,4.58,2.27,2013-11-23T04:22:12.000000Z,-75.18,-98.88,B,False,False,,
201311240420,-75.36,-106.91,2013-11-24T04:20:39.000000Z,0.84,5.61,2.57,2013-11-24T04:20:40.000000Z,-75.22,-106.19,B,False,False,,
201311260645,-75.46,-106.84,2013-11-26T06:45:37.000000Z,0.81,5.74,2.20,2013-11-26T06:45:44.000000Z,-75.66,-106.70,B,False,False,,
201311271122,-75.33,-106.68,2013-11-27T11:22:21.000000Z,0.81,5.26,1.93,2013-11-27T11:22:22.000000Z,-75.22,-106.19,C,False,False,,
201312250414,-74.70,-107.41,2013-12-25T04:14:37.000000Z,0.77,4.45,2.36,2013-12-25T04:14:40.000000Z,-74.66,-107.35,C,False,False,,
201312260813,-75.75,-107.01,2013-12-26T08:13:27.000000Z,0.80,6.32,2.30,2013-12-26T08:13:16.000000Z,-75.22,-106.19,C,False,False,,
201401190818,-74.75,-112.22,2014-01-19T08:18:19.000000Z,0.72,4.32,2.36,2014-01-19T08:18:22.000000Z,-74.62,-112.75,B,False,False,,
201402071228,-75.23,-107.31,2014-02-07T12:28:26.000000Z,0.82,6.11,2.72,2014-02-07T12:28:26.000000Z,-75.09,-107.88,B,False,False,,
201402150306,-75.12,-107.82,2014-02-15T03:06:37.000000Z,0.73,5.90,2.60,2014-02-15T03:06:40.000000Z,-75.09,-107.88,B,False,False,,
201404020921,-75.30,-108.52,2014-04-02T09:21:46.000000Z,0.79,6.19,2.54,2014-04-02T09:21:44.000000Z,-75.09,-107.88,B,False,False,,
201405160856,-75.25,-108.55,2014-05-16T08:56:03.000000Z,0.83,6.10,2.44,2014-05-16T08:56:04.000000Z,-75.09,-107.88,A,False,False,,
201406010646,-75.30,-108.24,2014-06-01T06:47:18.000000Z,0.78,6.15,2.49,2014-06-01T06:46:58.000000Z,-74.79,-105.71,C,False,False,,
201407300813,-75.35,-106.99,2014-07-30T08:13:08.000000Z,0.82,6.12,2.58,2014-07-30T08:13:08.000000Z,-75.22,-106.19,B,False,False,,
201408061718,-75.38,-108.43,2014-08-06T17:18:15.000000Z,0.84,6.50,2.57,2014-08-06T17:18:12.000000Z,-75.09,-107.88,B,False,False,,
201408152111,-75.36,-108.32,2014-08-15T21:11:28.000000Z,0.87,6.45,2.59,2014-08-15T21:11:36.000000Z,-75.52,-108.43,A,False,False,48.00,327393018761.60
201411121946,-75.34,-107.16,2014-11-12T19:46:34.000000Z,0.75,6.13,2.37,2014-11-12T19:46:44.000000Z,-75.66,-106.70,C,False,False,-178.00,131063605812.63
201411252201,-75.37,-107.10,2014-11-25T22:01:27.000000Z,0.80,6.17,2.22,2014-11-25T22:01:28.000000Z,-75.22,-106.19,C,False,False,178.00,106971396043.28
201412022102,-74.47,-116.60,2014-12-02T21:02:31.000000Z,0.82,2.79,2.47,2014-12-02T21:02:24.000000Z,-74.05,-117.30,A,False,False,68.00,366936054834.69
201412030900,-75.41,-108.09,2014-12-03T09:00:22.000000Z,0.77,6.06,2.41,2014-12-03T09:00:18.000000Z,-75.09,-107.88,C,False,False,172.00,144136469546.51
201412160454,-75.40,-108.18,2014-12-16T04:54:02.000000Z,0.84,6.63,2.40,2014-12-16T04:54:10.000000Z,-75.52,-108.43,C,False,False,,
201502011055,-74.93,-113.53,2015-02-01T10:55:50.000000Z,0.75,3.75,2.42,2015-02-01T10:55:42.000000Z,-74.44,-114.30,B,False,False,104.00,436433830423.54
201502100656,-73.29,-88.82,2015-02-10T06:56:43.000000Z,0.71,2.94,2.64,2015-02-10T06:56:40.000000Z,-73.09,-88.45,C,False,True,,
201502261819,-75.17,-105.67,2015-02-26T18:19:19.000000Z,0.82,6.14,2.38,2015-02-26T18:19:12.000000Z,-74.79,-105.71,B,False,False,180.00,337131491199.53
201504030319,-75.23,-107.96,2015-04-03T03:19:42.000000Z,0.78,6.51,2.66,2015-04-03T03:19:44.000000Z,-75.09,-107.88,A,False,False,,
201504071824,-75.29,-108.04,2015-04-07T18:24:29.000000Z,0.78,6.68,2.21,2015-04-07T18:24:28.000000Z,-75.09,-107.88,A,False,False,,
201504091437,-75.27,-108.29,2015-04-09T14:37:37.000000Z,0.77,6.66,2.16,2015-04-09T14:37:36.000000Z,-75.09,-107.88,B,False,False,-146.00,100071367233.31
201504190508,-75.32,-107.98,2015-04-19T05:08:48.000000Z,0.86,6.75,2.63,2015-04-19T05:08:58.000000Z,-75.52,-108.43,A,False,False,-160.00,197167273462.97
201505041016,-75.42,-108.21,2015-05-04T10:16:18.000000Z,0.78,6.48,2.38,2015-05-04T10:16:26.000000Z,-75.52,-108.43,B,False,False,14.00,285511784796.34
